"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","final_cluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","cell_name"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell200"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell201"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell202"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell203"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell204"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell205"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell206"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell207"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell208"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell209"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell210"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell211"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell212"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell213"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell214"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell215"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell216"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell217"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell218"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell219"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell220"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell221"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell222"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell223"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell224"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell225"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell226"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell227"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell228"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell229"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell230"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell231"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell232"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell233"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell234"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell235"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell236"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell237"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell238"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell239"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell240"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell241"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell242"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell243"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell244"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell245"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell246"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell247"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell248"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell249"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell250"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell251"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell252"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell253"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell254"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell255"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell256"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell257"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell258"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell259"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell260"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell261"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell262"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell263"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell264"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell265"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell266"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell267"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell268"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell269"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell270"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell271"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell272"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell273"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell274"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell275"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell276"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell277"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell278"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell279"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell280"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell281"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell282"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell283"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell284"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell285"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell286"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell287"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell288"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell289"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell290"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell291"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell292"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell293"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell294"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell295"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell296"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell297"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell298"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell299"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell300"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell301"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell302"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell303"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell304"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell305"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell306"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell307"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell308"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell309"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell310"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell311"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell312"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell313"
